document,entities,intent
i need a place to dine in the center thats expensive,[],find_hotel
"Any sort of food would be fine, as long as it is a bit expensive. Could I get the phone number for your recommendation?",[],find_hotel
"Sounds good, could I get that phone number? Also, could you recommend me an expensive hotel?","['hotel-pricerange', 'hotel-type']",find_hotel
Yes. Can you book it for me?,[],find_hotel
i want to book it for 2 people and 2 nights starting from saturday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
"That is all I need to know. Thanks, good bye.",[],NONE
"Guten Tag, I am staying overnight in Cambridge and need a place to sleep. I need free parking and internet.","['hotel-area', 'hotel-internet', 'hotel-parking']",find_hotel
"No, but I'd really like to be on the south end of the city. Do any of those fit the bill?",[],find_hotel
No I don't care about the price. Which one do you recommend?,[],find_hotel
"Yes, book it for 4 people and 4 nights starting from tuesday.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
How about for 3 nights?,[],book_hotel
Great. I am all set then. Have a nice day. Bye.,[],NONE
Hi there! Can you give me some info on Cityroomz?,['hotel-name'],find_hotel
Yes please. I need it for 7 people for 3 nights starting on tuesday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
I would like to book it for 3 nights beginning on Tuesday.,[],book_hotel
"Yeah, I need a restaurant in the west and with expensive pricing.",[],NONE
"No, I don't have a preference, but I need the phone number and postcode.",[],NONE
"No, right now, I just need the infor. Thanks!",[],NONE
That is all. thanks,[],NONE
I am looking for a hotel named alyesbray lodge guest house.,['hotel-name'],find_hotel
I would like to book a reservation for it. Can you help me with that?,[],find_hotel
We will be arriving on Sunday and will stay for 5 nights.,"['hotel-bookday', 'hotel-bookstay']",book_hotel
There will be 8 guests.,['hotel-bookpeople'],book_hotel
that is it thank you.,[],NONE
Can you actually look up a restaurant for me as well?,[],NONE
It's a place called Don Pasquale Pizzeria.,[],NONE
"Yes, I do. I'll need it booked for the same day, same people, and we'd like to eat at 19:00.",[],NONE
Great. One more thing. Can you book a taxi between the two places? I'd like to arrive at the restaurant in time for my reservation.,[],NONE
